,crypto,volume,change,chart_link,cmc_link,market_cap,vol/mrktcap
0,BOME,"$611,246,214",31.86%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ABOMEUSDT,https://coinmarketcap.com/currencies/book-of-meme/,,
1,MEW,"$172,030,849",16.35%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AMEWUSDT,https://coinmarketcap.com/currencies/mew/,,
2,BCH,"$383,863,785",12.96%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ABCHUSDT,https://coinmarketcap.com/currencies/bitcoin-cash/,,
3,WLD,"$492,179,546",12.83%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AWLDUSDT,https://coinmarketcap.com/currencies/worldcoin-org/,,
4,LDO,"$87,726,748",12.21%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ALDOUSDT,https://coinmarketcap.com/currencies/lido-dao/,,
5,CORE,"$47,606,428",11.74%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ACOREUSDT,https://coinmarketcap.com/currencies/core-dao/,,
6,ORDI,"$177,641,105",11.23%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AORDIUSDT,https://coinmarketcap.com/currencies/ordi/,,
7,ENA,"$259,095,065",10.84%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AENAUSDT,https://coinmarketcap.com/currencies/ethena/,,
8,BSV,"$42,643,584",10.82%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ABSVUSDT,https://coinmarketcap.com/currencies/bitcoin-sv/,,
9,IMX,"$60,146,246",9.77%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AIMXUSDT,https://coinmarketcap.com/currencies/immutable-x/,,
10,JUP,"$106,428,816",9.39%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AJUPUSDT,https://coinmarketcap.com/currencies/jupiter-ag/,,
11,BEAM,"$23,254,181",9.38%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ABEAMUSDT,https://coinmarketcap.com/currencies/onbeam/,,
12,FLOKI,"$239,636,775",8.92%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AFLOKIUSDT,https://coinmarketcap.com/currencies/floki-inu/,,
13,PEPE,"$1,190,135,552",8.92%,https://fr.tradingview.com/chart/?symbol=BINANCE%3APEPEUSDT,https://coinmarketcap.com/currencies/pepe/,,
14,BONK,"$234,994,070",8.74%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ABONKUSDT,https://coinmarketcap.com/currencies/bonk1/,,
15,RUNE,"$173,707,322",8.53%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ARUNEUSDT,https://coinmarketcap.com/currencies/thorchain/,,
16,FIL,"$144,396,957",8.42%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AFILUSDT,https://coinmarketcap.com/currencies/filecoin/,,
17,OM,"$39,498,012",8.23%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AOMUSDT,https://coinmarketcap.com/currencies/mantra/,,
18,FTM,"$284,410,443",8.10%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AFTMUSDT,https://coinmarketcap.com/currencies/fantom/,,
19,ONDO,"$95,901,134",7.56%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AONDOUSDT,https://coinmarketcap.com/currencies/ondo-finance/,,
20,CFX,"$52,479,932",7.46%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ACFXUSDT,https://coinmarketcap.com/currencies/conflux-network/,,
21,XEC,"$15,966,250",7.41%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AXECUSDT,https://coinmarketcap.com/currencies/ecash/,,
22,PYTH,"$46,359,054",7.38%,https://fr.tradingview.com/chart/?symbol=BINANCE%3APYTHUSDT,https://coinmarketcap.com/currencies/pyth-network/,,
23,NOT,"$149,635,752",7.37%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ANOTUSDT,https://coinmarketcap.com/currencies/notcoin/,,
24,NEAR,"$334,916,868",7.20%,https://fr.tradingview.com/chart/?symbol=BINANCE%3ANEARUSDT,https://coinmarketcap.com/currencies/near-protocol/,,
25,JASMY,"$65,920,427",7.04%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AJASMYUSDT,https://coinmarketcap.com/currencies/jasmy/,,
26,MOG,"$36,013,259",6.38%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AMOGUSDT,https://coinmarketcap.com/currencies/mog-coin/,,
27,ETH,"$20,709,596,570",6.34%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AETHUSDT,https://coinmarketcap.com/currencies/ethereum/,,
28,GRT,"$124,068,595",6.32%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AGRTUSDT,https://coinmarketcap.com/currencies/the-graph/,,
29,FLR,"$9,030,607",6.23%,https://fr.tradingview.com/chart/?symbol=BINANCE%3AFLRUSDT,https://coinmarketcap.com/currencies/flare/,,
